trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
536546968,5,10/1/2022 0:47,10/1/2022 0:52,3155,39.940182,-75.154419,3100,39.927769,-75.151031,16996,30,One Way,Indego30,electric
536546966,4,10/1/2022 0:47,10/1/2022 0:51,3259,39.960159,-75.198837,3006,39.952202,-75.20311,5304,30,One Way,Indego30,standard
536546964,12,10/1/2022 0:51,10/1/2022 1:03,3264,39.945709,-75.155083,3116,39.96006,-75.171982,3425,365,One Way,Indego365,standard
536546962,6,10/1/2022 0:52,10/1/2022 0:58,3028,39.940609,-75.149582,3063,39.946331,-75.1698,19716,30,One Way,Indego30,electric
536546960,6,10/1/2022 0:53,10/1/2022 0:59,3026,39.941818,-75.1455,3100,39.927769,-75.151031,11838,30,One Way,Indego30,standard
536546958,13,10/1/2022 0:55,10/1/2022 1:08,3112,39.953732,-75.218246,3248,39.942131,-75.18335,11895,30,One Way,Indego30,standard
536546956,32,10/1/2022 0:56,10/1/2022 1:28,3206,39.95174,-75.170631,3212,39.963829,-75.18177,2682,365,One Way,Indego365,standard
536546954,12,10/1/2022 0:56,10/1/2022 1:08,3033,39.95005,-75.156723,3010,39.947109,-75.166183,14655,30,One Way,Indego30,standard
536546952,13,10/1/2022 1:00,10/1/2022 1:13,3025,39.937241,-75.161201,3114,39.937752,-75.180122,5331,365,One Way,Indego365,standard
536546950,3,10/1/2022 1:04,10/1/2022 1:07,3006,39.952202,-75.20311,3074,39.955109,-75.209869,5304,30,One Way,Indego30,standard
536546948,13,10/1/2022 1:04,10/1/2022 1:17,3041,39.968491,-75.13546,3250,39.95673,-75.145752,16457,1,One Way,Day Pass,electric
536546946,4,10/1/2022 1:11,10/1/2022 1:15,3020,39.948551,-75.190071,3170,39.94426,-75.181343,18675,365,One Way,Indego365,electric
536546944,3,10/1/2022 1:11,10/1/2022 1:14,3249,39.95784,-75.190788,3035,39.962711,-75.194191,18959,30,One Way,Indego30,electric
536546942,2,10/1/2022 1:13,10/1/2022 1:15,3006,39.952202,-75.20311,3152,39.949928,-75.202858,5298,365,One Way,Indego365,standard
536546940,32,10/1/2022 1:17,10/1/2022 1:49,3250,39.95673,-75.145752,3209,39.949001,-75.212784,22274,1,One Way,Day Pass,electric
536546938,11,10/1/2022 1:20,10/1/2022 1:31,3165,39.958191,-75.1782,3075,39.967178,-75.161247,23312,30,One Way,Indego30,electric
